"totalQtyOwned","name","printNumber","finish","variant","expansion","game","condition","language","price","riotId"
"2","Prize of Progress","075","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.11",""
"1","Cull","134","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.76",""
"1","Azir - Emperor of the Sands","197","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.25",""
"2","Spirit Wheel","144","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.22",""
"13","Calm Rune","042","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.23",""
"2","Blood Rush","003","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.09",""
"2","Navori Scout","037","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.05",""
"2","Aspiring Engineer","061","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.04",""
"2","Detonate","005","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.07",""
"2","Master Bingwen","127","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.04",""
"2","Eye of the Herald","153","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.12",""
"2","Buhru Captain","091","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.11",""
"1","Glasc Mixologist","165","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.20",""
"1","Factory Recall","135","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.12",""
"2","Power Nexus","214","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.11",""
"1","Honest Broker","155","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.37",""
"1","Ornn - Forge God","085","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.35",""
"1","Soraka - Wanderer","173","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.28",""
"1","Gold","T03","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.00",""
"1","Jinx - Loose Cannon","251","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.23",""
"1","Teemo - Scout","197","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.65",""
"1","Teemo - Swift Scout","263","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.35",""
"1","The Dreaming Tree","292","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.94",""
"1","Bandle Tree","278","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.20",""
"1","Laurent Bladekeeper","096","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.17",""
"1","Blood Money","162","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.21",""
"1","Hall of Legends","210","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.11",""
"1","Guardian of the Passage","035","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.05",""
"1","Gem Jammer","007","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.07",""
"1","Cloth Armor","064","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.08",""
"1","Lonely Poro","036","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.15",""
"1","Rumble - Mechanized Menace","181","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.11",""
"1","Rumble - Hotheaded (Alternate Art)","026a","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","2.74",""
"2","Bubble Bot","062","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.08",""
"1","Sentinel Adept","008","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.05",""
"1","Desert's Call","031","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.18",""
"1","Overzealous Fan","128","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.12",""
"1","Ruin Runner","105","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.30",""
"1","Fae Dragon","101","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.16",""
"1","Forgotten Monument","209","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.07",""
"1","Simian Ancestor","047","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.19",""
"1","Assembly Rig","019","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.12",""
"1","Arcane Shift","200","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","5.50",""
"13","Order Rune","214","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.16",""
"1","Thwonk!","040","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.13",""
"1","Direwing","094","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.10",""
"1","Minotaur Reckoner","014","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.16",""
"1","Jaull-Fish","103","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.12",""
"1","Vanguard Armory","168","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.44",""
"1","Xin Zhao - Vigilant","176","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.43",""
"1","Ferrous Forerunner","021","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.84",""
"1","Fae Porter","125","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.05",""
"1","Zaun Punk","160","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.09",""
"1","B.F. Sword","161","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.28",""
"1","Sudden Storm","017","Standard","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.15",""
"1","Prize of Progress","075","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.24",""
"1","Rengar - Pouncing","025","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.45",""
"1","Edge of Night","139","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.26",""
"1","The Candlelit Sanctum","291","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.25",""
"2","Sprite Mother","106","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.83",""
"2","Convergent Mutation","108","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.25",""
"3","Stupefy","095","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.20",""
"3","Consult the Past","083","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.18",""
"1","Stacked Deck","183","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Lightly Played","en","9.18",""
"12","Mind Rune","089","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.19",""
"1","Kayn - Unleashed","189","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.44",""
"1","Ahri - Alluring","066","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.71",""
"1","Darius - Executioner","243","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","1.73",""
"1","Wielder of Water","055","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.10",""
"1","Mega-Mech","088","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.06",""
"1","Recruit (ZN)","273","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.14",""
"1","Harpoon Squad","137","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.35",""
"1","Eye of the Herald","153","Foil","","Spiritforged","Riftbound: League of Legends TCG","Near Mint","en","0.29",""
"1","Fury Rune","R01b","Foil","","Spiritforged - Promo Cards","Riftbound: League of Legends TCG","Near Mint","en","23.55",""
